word	slice	sources	mfa	cv	tiny	tiny_ok_mfa	trans	trans_ok_mfa
abyei	disputed	disputed	a b ɨ ɛ i	a b j ɛ i	a b ɨ ɛ i	True	a b ɨ ɛ i	True
achmeda	mfa-only	error-union	tʂ m ɛ d̪ a		a x m ɛ d̪ a	False	a x m ɛ d̪ a	False
act	disputed	disputed+error-union	a t̪	a t͡s t	a t̪s̪ t̪	False	a t̪s̪ t̪	False
agd	mfa-only	error-union+unalignable	a ɟ ɛ d̪ ɛ		a ɡ t̪	False	a ɡ d̪ ɛ	False
aleuckiego	mfa-only	error-union	a l ɛ w t̪s̪ c ɛ ɡ ɔ		a l ɛ u t̪s̪ c ɛ ɡ ɔ	False	a l ɛ w t̪s̪ c ɛ ɡ ɔ	True
astrolog	disputed	disputed	a s̪ t̪ r ɔ l ɔ k	a s t r ɔ l ɔ ɡ	a s̪ t̪ r ɔ l ɔ k	True	a s̪ t̪ r ɔ l ɔ k	True
augustyanów	mfa-only	error-union	a w ɡ u s̪ t̪ ɨ a n̪ u f		a w ɡ u s̪ t̪ ɨ n̪ u f	False	a w ɡ u s̪ t̪ ɨ a n̪ u f	True
australią	disputed	disputed	a w s̪ t̪ r a ʎ ɔ̃	a f s t r a l j ɔ̃	a w s̪ t̪ r a ʎ ɔ̃	True	a w s̪ t̪ r a ʎ ɔ̃	True
autentycznych	disputed	disputed	a w t̪ ɛ n̪ t̪ ɨ tʂ n̪ ɨ x	a f t ɛ n t ɨ t ʂ n ɨ x	a w t̪ ɛ n̪ t̪ ɨ tʂ n̪ ɨ x	True	a w t̪ ɛ n̪ t̪ ɨ tʂ n̪ ɨ x	True
authorising	mfa-only	error-union	a w t̪ ɔ rʲ i z̪ i n̪ k		a w t̪ ɔ r i ɕ i n̪ k	False	a w t̪ ɔ rʲ i ɕ i n̪ k	False
automatyczna	disputed	disputed	a w t̪ ɔ m a t̪ ɨ tʂ n̪ a	a f t ɔ m a t ɨ t ʂ n a	a w t̪ ɔ m a t̪ ɨ tʂ n̪ a	True	a w t̪ ɔ m a t̪ ɨ tʂ n̪ a	True
autorem	disputed	disputed	a w t̪ ɔ r ɛ m	a f t ɔ r ɛ m	a w t̪ ɔ r ɛ m	True	a w t̪ ɔ r ɛ m	True
autyzmu	disputed	disputed	a w t̪ ɨ z̪ m u	a f t ɨ z m u	a w t̪ ɨ z̪ m u	True	a w t̪ ɨ z̪ m u	True
barrot	disputed	disputed	b a r ɔ t̪	b a r r ɔ t	b a r ɔ t̪	True	b a r ɔ t̪	True
bavorova	mfa-only	error-union+unalignable	b ɛ j v ɔ r ɔ v a		b a v ɔ r ɔ v a	False	b a v ɔ r ɔ v a	False
bestsellerów	disputed	disputed	b ɛ s̪ t̪ s̪ ɛ l ɛ r u f	b ɛ s t s ɛ l l ɛ r u v	b ɛ s̪ t̪ s̪ ɛ l ɛ r u f	True	b ɛ s̪ t̪ s̪ ɛ l ɛ r u f	True
beyer	mfa-only	error-union	b ɛ ɨ ɛ r		b j ɛ r	False	b ɛ j ɛ r	False
bezbronne	disputed	disputed	b ɛ z̪ b r ɔ n̪ ɛ	b ɛ z b r ɔ n n ɛ	b ɛ z̪ b r ɔ n̪ ɛ	True	b ɛ z̪ b r ɔ n̪ ɛ	True
bezdenne	disputed	disputed	b ɛ z̪ d̪ ɛ n̪ ɛ	b ɛ z d ɛ n n ɛ	b ɛ z̪ d̪ ɛ n̪ ɛ	True	b ɛ z̪ d̪ ɛ n̪ ɛ	True
bezinteresowne	disputed	disputed	b ɛ z̪ i n̪ t̪ ɛ r ɛ s̪ ɔ v n̪ ɛ	b ɛ ʑ i n t ɛ r ɛ s ɔ v n ɛ	b ɛ z̪ i n̪ t̪ ɛ r ɛ s̪ ɔ v n̪ ɛ	True	b ɛ z̪ i n̪ t̪ ɛ r ɛ s̪ ɔ v n̪ ɛ	True
biedaków	disputed	disputed	bʲ ɛ d̪ a k u f	b j ɛ d a k u v	bʲ ɛ d̪ a k u f	True	bʲ ɛ d̪ a k u f	True
biura	disputed	disputed	bʲ u r a	b i v r a	bʲ u r a	True	bʲ u r a	True
biurokratycznym	disputed	disputed	bʲ u r ɔ k r a t̪ ɨ tʂ n̪ ɨ m	b i v r ɔ k r a t ɨ t ʂ n ɨ m	bʲ u r ɔ k r a t̪ ɨ tʂ n̪ ɨ m	True	bʲ u r ɔ k r a t̪ ɨ tʂ n̪ ɨ m	True
biurze	disputed	disputed	bʲ u ʐ ɛ	b i v ʐ ɛ	bʲ u ʐ ɛ	True	bʲ u ʐ ɛ	True
